director,total_movies,total_revenue,mean_rating
James Cameron,2,5187.868379,7.7509999999999994
Joss Whedon,2,2924.219209,7.6095
Joe Russo,1,2799.4391,8.2
Jennifer Lee,2,2727.9024849999996,7.2425
J.J. Abrams,1,2068.223624,7.253
Anthony Russo,1,2052.415039,8.235
Colin Trevorrow,1,1671.537444,6.7
Jon Favreau,1,1662.020819,7.097
James Wan,1,1515.4,7.218
Ryan Coogler,1,1349.926083,7.363
David Yates,1,1341.511219,8.081
Rian Johnson,1,1332.69883,6.76
J.A. Bayona,1,1310.469037,6.535
Bill Condon,1,1266.115964,6.968
Brad Bird,1,1243.225667,7.5
